Idx 38; By LM; LR Iter4 %: 0.00; BT Iter1 %: 0.05; LR Acc: 34.21 | BT Acc: 47.37 | LM Acc: 88.89 | TT Acc: 86.84
Idx 39; By LM; LR Iter4 %: 0.00; BT Iter1 %: 0.05; LR Acc: 35.90 | BT Acc: 48.72 | LM Acc: 89.19 | TT Acc: 87.18
Idx 40; By LM; LR Iter4 %: 0.00; BT Iter1 %: 0.05; LR Acc: 35.00 | BT Acc: 50.00 | LM Acc: 86.84 | TT Acc: 85.00
Idx 41; By LM; LR Iter4 %: 0.00; BT Iter1 %: 0.05; LR Acc: 36.59 | BT Acc: 48.78 | LM Acc: 87.18 | TT Acc: 85.37
Idx 42; By BT; LR Iter4 %: 0.00; BT Iter1 %: 0.07; LR Acc: 38.10 | BT Acc: 47.62 | LM Acc: 87.18 | TT Acc: 83.33
Idx 43; By LM; LR Iter4 %: 0.00; BT Iter1 %: 0.07; LR Acc: 37.21 | BT Acc: 48.84 | LM Acc: 85.00 | TT Acc: 81.40
Idx 44; By LM; LR Iter5 %: 0.00; BT Iter1 %: 0.07; LR Acc: 36.36 | BT Acc: 50.00 | LM Acc: 85.37 | TT Acc: 81.82
Idx 45; By LR; LR Iter5 %: 0.02; BT Iter1 %: 0.07; LR Acc: 35.56 | BT Acc: 50.00 | LM Acc: 85.37 | TT Acc: 80.00
Idx 46; By LM; LR Iter5 %: 0.02; BT Iter1 %: 0.07; LR Acc: 34.78 | BT Acc: 51.11 | LM Acc: 85.71 | TT Acc: 80.43
Idx 47; By LM; LR Iter5 %: 0.02; BT Iter1 %: 0.06; LR Acc: 34.04 | BT Acc: 52.17 | LM Acc: 86.05 | TT Acc: 80.85
Idx 48; By LR; LR Iter5 %: 0.04; BT Iter1 %: 0.06; LR Acc: 35.42 | BT Acc: 52.17 | LM Acc: 86.05 | TT Acc: 81.25
Idx 49; By LR; LR Iter5 %: 0.06; BT Iter1 %: 0.06; LR Acc: 36.73 | BT Acc: 52.17 | LM Acc: 86.05 | TT Acc: 81.63
Idx 50; By LR; LR Iter5 %: 0.08; BT Iter1 %: 0.06; LR Acc: 38.00 | BT Acc: 52.17 | LM Acc: 86.05 | TT Acc: 82.00
Idx 51; By LR; LR Iter5 %: 0.10; BT Iter1 %: 0.06; LR Acc: 39.22 | BT Acc: 52.17 | LM Acc: 86.05 | TT Acc: 82.35
Idx 52; By LM; LR Iter5 %: 0.10; BT Iter1 %: 0.06; LR Acc: 40.38 | BT Acc: 51.06 | LM Acc: 86.36 | TT Acc: 82.69
Idx 53; By LR; LR Iter5 %: 0.11; BT Iter1 %: 0.06; LR Acc: 39.62 | BT Acc: 51.06 | LM Acc: 86.36 | TT Acc: 81.13
Idx 54; By LR; LR Iter5 %: 0.13; BT Iter1 %: 0.06; LR Acc: 40.74 | BT Acc: 51.06 | LM Acc: 86.36 | TT Acc: 81.48
Idx 55; By LR; LR Iter5 %: 0.15; BT Iter1 %: 0.05; LR Acc: 41.82 | BT Acc: 51.06 | LM Acc: 86.36 | TT Acc: 81.82
Idx 56; By LM; LR Iter5 %: 0.14; BT Iter1 %: 0.05; LR Acc: 41.07 | BT Acc: 52.08 | LM Acc: 86.67 | TT Acc: 82.14
